word,count
shooting,10
job,10
https://t.co/wIXidO5AAe,10
town,10
actor,10
become,10
months,10
layoffs,10
arrested,10
fox5ny,10
When,10
him,10
big,10
send,10
WHO,10
infections,10
sports,10
age,10
streets,10
wife,10
@NotifyNYC,10
rent,10
Most,10
made,10
University,10
event,10
despite,10
Foodathon,10
nurse,10
Texas,10
fighting,10
CoronavirusNewYork,10
prison,10
start,10
cancels,10
federal,10
sends,10
WWII,10
tax,10
gun,10
set,10
Another,10
t,10
son,10
1st,10
inside,10
case,10
Tag,10
Series,10
Depth,10
member,10
reach,10
sales,10
suggests,10
17,10
First,10
draft,9
ER,9
county,9
researchers,9
shot,9
Facebook,9
passed,9
real,9
employee,9
Should,9
Saturday,9
daily,9
Democratic,9
preparing,9
class,9
delivery,9
running,9
curfew,9
party,9
prayers,9
room,9
Queens,9
concert,9
dog,9
shelter,9
retirement,9
owners,9
doing,9
driver,9
declares,9
warning,9
wedding,9
Guard,9
tomorrow,9
faces,9
kills,9
Woman,9
https://t.co/XuCEeORWH3,9
fall,9
thru,9
wave,9
behind,9
them,9
left,9
hope,9
Wednesday,9
Hospital,9
He,9
gratitude,9
great,9
administration,9
ca,9
market,9
wind,9
biggest,9
learning,9
Ultimate,9
system,9
extends,9
again,9
—,9
boy,9
g,9
issues,9
North,9
accused,9
break,9
signs,9
20,9
😊,9
isolation,9
struggle,9
Amid,9
Prince,9
urges,9
@GrahamBensinger,9
infection,9
Are,9
losses,9
round,8
want,8
Westchester,8
Task,8
little,8
guidelines,8
Nassau,8
birth,8
suspends,8
linked,8
plunge,8
MPH,8
20th,8
@CityHarvest,8
limit,8
surpasses,8
safety,8
likely,8
players,8
growing,8
Park,8
NYS,8
earthquake,8
comes,8
trade,8
Los,8
owner,8
each,8
assault,8
King,8
beat,8
resume,8
goes,8
asks,8
baseball,8
future,8
gets,8
League,8
infected,8
45,8
tri,8
fund,8
full,8
does,8
Navy,8
Bryant,8
teachers,8
others,8
companies,8
best,8
tells,8
@LisaEvers,8
thank,8
Report,8
complications,8
Judge,8
these,8
July,8
donates,8
veteran,8
FBI,8
gusts,8
Get,8
fans,8
halt,8
soon,8
Second,8
message,8
father,8
fear,8
details,8
ends,8
hospitalized,8
dance,8
primary,8
Fox,8
celebrates,8
meals,8
feed,8
honor,8
needed,8
hero,8
From,8
”,8
entertainment,8
CoronavirusOutbreak,8
snow,8
Schools,8
cause,8
daughter,8
hits,8
facilities,8
Mexico,8
mom,8
deadly,8
questions,8
rally,8
Angeles,8
presidential,8
Masked,8
postponed,8
look,8
find,8
closing,8
offer,8
IRS,8
breaking,8
Billie,8
Singer,8
Tokyo,8
N95,8
my,8
ready,8
rate,8
any,8
buy,8
expected,8
steps,8
stayhome,8
re,8
delay,7
baby,7
gear,7
trying,7
able,7
Service,7
cool,7
remains,7
deadline,7
heavy,7
urge,7
/,7
protective,7
iHeart,7
turns,7
“,7
girl,7
helps,7
industry,7
Minnesota,7
impacted,7
Center,7
’re,7
cruise,7
She,7
Click,7
wants,7
Commissioner,7
"2,000",7
Mark,7
NASCAR,7
Doctors,7
https://t.co/6TlRcJ8w2D,7
Concert,7
group,7
point,7
19,7
23,7
well,7
were,7
half,7
releases,7
raise,7
volunteers,7
plant,7
visit,7
2nd,7
rescue,7
homeless,7
announced,7
veterans,7
CoronavirusPandemic,7
announce,7
pick,7
release,7
history,7
drops,7
On,7
step,7
Treasury,7
opens,7
Twitter,7
survivor,7
force,7
sets,7
cash,7
leave,7
military,7
faith,7
talk,7
between,7
THE,7
Why,7
launches,7
Queen,7
share,7
shares,7
begins,7
three,7
less,7
enough,7
flyover,7
Birthday,7
makes,7
staysafe,7
station,7
few,7
Pennsylvania,7
m,7
Peace,7
street,7
feet,7
someone,7
If,7
Bloomberg,7
campaign,7
border,7
local,7
capacity,7
AP,7
Find,7
neighbors,7
climb,7
gain,7
Experts,7
Canada,7
consider,7
jail,7
ceremony,7
train,7
contact,7
ever,7
dry,7
battling,7
treat,7
isolating,7
Enjoy,7
Korea,7
single,7
changes,7
site,7
rest,7
music,7
Would,7
near,7
keeping,7
bankruptcy,7
church,7
games,7
took,7
issued,7
Sanders,6
See,6
deliver,6
Sen.,6
Hoboken,6
equipment,6
host,6
Home,6
everyone,6
Giants,6
price,6
hand,6
notice,6
measures,6
hiring,6
never,6
Michael,6
did,6
head,6
hard,6
neighborhoods,6
Poll,6
episode,6
production,6
department,6
negative,6
Season,6
heroes,6
exposure,6
far,6
enforce,6
media,6
fears,6
newyork,6
gatherings,6
Masters,6
Room,6
governors,6
Love,6
place,6
laid,6
frontlines,6
door,6
personnel,6
own,6
News,6
human,6
humanity,6
personal,6
Newsom,6
hungry,6
golf,6
join,6
further,6
Living,6
getting,6
payment,6
driving,6
drop,6
passengers,6
inflammatory,6
Labor,6
Elton,6
Lamont,6
later,6
launch,6
major,6
law,6
files,6
prepare,6
ICU,6
II,6
Paul,6
posts,6
office,6
loan,6
possibly,6
living,6
Of,6
oil,6
discuss,6
guide,6
disease,6
Finale,6
Iran,6
Fed,6
levels,6
following,6
operations,6
Roy,6
Japan,6
leaders,6
Dow,6
former,6
https://t.co/llOPNEGGS8,6
livestreamed,6
critical,6
results,6
black,6
@Fox5NYWeather,6
speaks,6
viral,6
card,6
asking,6
CEO,6
Sunday,6
survey,6
require,6
rises,6
roll,6
4-year,6
attacks,6
suspended,6
available,6
suspending,6
continues,6
Star,6
recession,6
app,6
16,6
18,6
create,6
wearing,6
both,6
watching,6
student,6
warn,6
remote,6
United,6
200,6
Square,6
waiting,6
wait,6
Walmart,6
sue,6
Boris,6
