word,count
saw,19
facilities,19
Los,19
check,19
car,19
parents,19
college,19
seeing,19
faces,19
critical,19
Microsoft,19
So,19
themselves,19
release,19
ill,19
Stay,19
Coronavirus,19
June,19
Biden,19
investigating,19
give,19
cleaning,19
100,19
known,19
streets,19
hours,19
fall,18
Everett,18
causes,18
drug,18
No,18
child,18
trying,18
sell,18
Federal,18
appears,18
line,18
higher,18
issues,18
inmates,18
sites,18
School,18
Congress,18
ship,18
once,18
six,18
temporarily,18
real,18
Live,18
toward,18
effort,18
District,18
treatment,18
Public,18
moved,18
changes,18
difficult,18
killed,18
begin,18
groups,18
insurance,18
Check,18
beginning,18
parts,18
supply,18
tips,18
lot,18
building,18
calling,18
court,18
great,18
better,18
All,18
potential,18
World,18
Mayor,18
50,18
funding,18
music,18
feel,18
Ballard,18
role,17
terms,17
huge,17
activity,17
blood,17
general,17
Sound,17
Mother,17
experience,17
problems,17
took,17
challenges,17
facing,17
eight,17
traffic,17
late,17
lockdown,17
color,17
governors,17
prosecutors,17
policy,17
Bridge,17
despite,17
calls,17
John,17
leading,17
countries,17
Former,17
went,17
space,17
counties,17
outbreaks,17
resume,17
postponed,17
investigation,17
re,17
infection,17
You,17
Amid,17
properly,17
They,17
follow,17
senior,17
Democratic,16
house,16
project,16
Since,16
decades,16
North,16
offer,16
tech,16
Prime,16
housing,16
supplies,16
filed,16
finding,16
CEO,16
cruise,16
Sheriff,16
Dr.,16
games,16
Service,16
threatened,16
tens,16
driver,16
steps,16
rate,16
facility,16
cities,16
term,16
aircraft,16
reduce,16
both,16
lower,16
self,16
rules,16
leaving,16
beyond,16
'll,16
nationwide,16
became,16
lawsuit,16
keeping,16
reports,16
misinformation,16
Angeles,16
round,16
security,16
Airport,16
killing,16
Administration,16
wearing,16
remains,16
mental,16
warning,16
Small,16
authorities,15
continued,15
closure,15
town,15
worker,15
native,15
nature,15
conditions,15
consider,15
Puget,15
little,15
assistance,15
t,15
region,15
enforcement,15
Anthony,15
Valley,15
mortgage,15
Port,15
biggest,15
shares,15
done,15
dining,15
passed,15
passenger,15
campaign,15
sure,15
light,15
worst,15
doctor,15
7,15
legal,15
Kent,15
Watch,15
department,15
football,15
livelihoods,15
require,15
shelters,15
additional,15
residential,15
deal,15
executive,15
charged,15
programs,15
15,15
county,15
try,15
record,15
break,15
air,15
turned,15
Bellevue,15
20,15
isolated,15
within,15
includes,15
recovery,15
challenge,15
arrested,15
Senate,15
let,14
science,14
drivers,14
products,14
T,14
writer,14
South,14
my,14
That,14
normal,14
learning,14
half,14
’ve,14
created,14
center,14
putting,14
following,14
worldwide,14
Do,14
seniors,14
...,14
bankruptcy,14
@davidlgutman,14
quarter,14
14,14
potentially,14
airlines,14
At,14
remote,14
dozens,14
ordered,14
young,14
Via,14
fired,14
"
 ",14
step,14
cash,14
produce,14
Mount,14
ready,14
procedures,14
clear,14
30,14
publicly,14
equipment,14
later,14
effective,14
chain,14
special,14
transmission,14
Fauci,14
feeling,14
rates,14
me,14
official,14
These,14
perfect,14
adults,14
"100,000",14
human,14
shops,14
hope,14
connect,13
@BJeanClement,13
proposed,13
options,13
governor,13
sent,13
crew,13
credit,13
uncertain,13
production,13
allowing,13
budget,13
spending,13
fresh,13
@SeaTimesSports,13
book,13
massive,13
paid,13
frequently,13
Metro,13
control,13
initial,13
considered,13
black,13
paper,13
cutting,13
animals,13
@Jim_Brunner,13
College,13
creative,13
result,13
employee,13
instead,13
Gates,13
learn,13
25,13
earlier,13
available,13
layoffs,13
single,13
vaccine,13
results,13
closures,13
then,13
2018,13
4,13
classes,13
accused,13
St.,13
rooms,13
ahead,13
hold,13
extra,13
white,13
unprecedented,13
agency,13
event,13
Field,13
vehicle,13
tell,13
fitness,13
wave,13
infectious,13
often,13
suddenly,13
sex,13
Zoom,13
weather,13
downtown,13
Earth,13
women,13
High,13
wo,13
sick,13
rights,13
thought,13
anyone,13
passengers,13
communities,13
ideas,13
apart,13
raising,13
political,13
surge,13
history,13
visual,12
Netflix,12
battle,12
@SJGTimes,12
phase,12
sense,12
worried,12
issued,12
Great,12
experiencing,12
crowded,12
phone,12
afternoon,12
Obama,12
pick,12
given,12
damage,12
road,12
agencies,12
third,12
email,12
statement,12
begun,12
accounts,12
prices,12
previously,12
deputies,12
prevent,12
Market,12
research,12
wants,12
mass,12
longtime,12
Lake,12
levels,12
website,12
loan,12
dozen,12
6,12
lawmakers,12
July,12
Walla,12
transit,12
affects,12
kind,12
staying,12
feet,12
lack,12
Facebook,12
water,12
laid,12
further,12
reporting,12
bit,12
degree,12
prison,12
education,12
represents,12
level,12
ones,12
build,12
Capitol,12
carrier,12
hand,12
host,12
read,12
recently,12
closing,12
movies,12
TV,12
operating,12
idea,12
shortages,12
Portland,12
and/or,12
Renton,12
column,12
non,12
courses,12
Before,12
uncertainty,12
must,12
internal,12
bring,12
growth,12
Protection,12
/,12
situation,12
Business,12
CDC,12
Chinese,12
certain,12
fund,11
funds,11
illness,11
Cut,11
collapse,11
13,11
co,11
Kirkland,11
payment,11
else,11
Jeff,11
card,11
immigration,11
Care,11
address,11
speed,11
board,11
Most,11
readers,11
drop,11
retail,11
fighting,11
Program,11
players,11
shuttered,11
bad,11
Place,11
--,11
opportunity,11
limit,11
limited,11
believe,11
scale,11
Yakima,11
question,11
increasing,11
opening,11
warehouse,11
dinner,11
resident,11
seven,11
practices,11
warned,11
director,11
walk,11
Life,11
Read,11
banks,11
90,11
Republican,11
500,11
drive,11
reality,11
able,11
Police,11
hair,11
pushing,11
m,11
built,11
identified,11
designed,11
Lee,11
dollars,11
labor,11
p.m.,11
plant,11
Food,11
covered,11
