screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
seattletimes,2020-05-20T09:04:47Z,"Microsoft Cloud for Healthcare includes tools that allow for digital triage, telemedicine and coordination of care using internet-based services, chat and conferencing apps.  It’s available now via a preview and free trial for the next six months. https://t.co/c0AVkMcoTJ",4,5,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263032913827966976
seattletimes,2020-05-20T08:25:36Z,"The Bronx has been hit harder by the virus than any other place in the New York City metropolitan area. So far, the virus has killed nearly 4,300 people in the borough of 1.4 million.  https://t.co/1VYjDw8QdK",10,9,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263023054705299458
seattletimes,2020-05-20T08:01:37Z,RT @SeaTimesFotoKen: A Snohomish barbershop defies orders to remain closed during coronavirus — and customers line up @nicolebrodeur reports https://t.co/syGToKbqEO via @seattletimes https://t.co/MJRAFfg9Wd,9,0,,SeaTimesFotoKen,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",TweetDeck,en,1263017018682249216
seattletimes,2020-05-20T07:55:24Z,RT @SeaTimesFotoKen: An update: 2 gyms that had defied coronavirus stay-home order close their doors after state attorney general sues https://t.co/dWV3eOMTn6 via @seattletimes https://t.co/KPO5CdH2wP,8,0,,SeaTimesFotoKen,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",TweetDeck,en,1263015451879071744
seattletimes,2020-05-20T07:36:53Z,"Google says it will no longer build custom artificial intelligence tools for speeding up oil and gas extraction, separating itself from cloud computing rivals Microsoft and Amazon. The announcement followed a Greenpeace report. https://t.co/va9kqqyc2m",9,29,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263010794997977088
seattletimes,2020-05-20T07:15:39Z,"Scientists say that even moderate traffic at the wrong time can wipe out entire populations of amphibians in a few years. However, shelter-in-place orders have caused traffic to decline, turning this spring into an unintended, large-scale experiment. https://t.co/Ptf1eepbDJ",15,19,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263005449529540608
seattletimes,2020-05-20T06:40:07Z,Who says you can't play with your food? Try these edible science experiments at home. https://t.co/PA3HqOgAht,4,9,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262996508305166336
seattletimes,2020-05-20T06:12:53Z,The impact of the coronavirus pandemic is generally expressed in numbers. But each data point represents a human life whose loss is felt by countless other people. We are chronicling some of them in a special series called Lives Remembered. https://t.co/cR1VNyFoA6,7,16,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262989653826777089
seattletimes,2020-05-20T05:54:16Z,"Seattle teaching artist Corinne Manning's striking debut collection of stories, “We Had No Rules,” showcases unique characters, strong narratives and rules that are made to be broken — all packed into less than 200 pages. https://t.co/kmFtIZmNVR",4,8,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262984971024764930
seattletimes,2020-05-20T05:24:36Z,"Johnson &amp; Johnson is discontinuing North American sales of its talc-based baby powder, a product that it has defended for decades even as it faced thousands of lawsuits filed by patients who say it caused cancer. ] https://t.co/65zLcfn036",8,23,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262977503821467648
